data,ora,Lat N,Long E,prof (km),Md
01/05/13,13.10.58.25,37.727,15.097,4.36,1.4
09/15/30,14.48.02.81,37.812,15.056,-0.29,0.6
06/07/16,06.44.49.68,37.799,15.041,0.29,2.0
09/12/23,06.09.47.85,37.724,15.012,1.12,1.3
08/02/16,06.31.16.71,37.747,15.006,0.08,1.5
03/09/14,09.43.03.13,37.728,15.111,6.91,1.5
12/02/24,13.32.06.07,37.805,15.047,0.37,2.5
01/16/26,22.51.49.87,37.797,15.023,0.19,1.1
06/12/27,21.58.22.84,37.722,15.09,5.53,3.1
07/01/15,21.03.50.90,37.69,15.061,0.11,2.9
09/16/25,12.13.31.00,37.752,15.132,6.51,1.4
10/02/29,16.39.46.78,37.666,15.138,0.22,4.0
01/10/16,03.54.10.24,37.743,15.056,4.25,1.5
10/02/27,07.32.06.20,37.782,15.021,4.73,3.2
04/06/20,18.56.24.55,37.74,15.084,3.41,1.9
09/04/10,22.58.33.31,37.715,15.077,3.37,1.3
04/03/02,17.15.31.17,37.789,15.089,3.97,1.8
01/04/01,04.39.23.54,37.687,15.05,6.32,2.3
05/07/26,05.16.42.04,37.773,14.801,6.65,2.2
07/01/13,22.34.30.80,37.704,15.049,0.87,2.5
04/10/10,12.22.30.05,37.681,15.046,7.08,1.9
07/04/07,03.28.17.67,37.748,15.056,3.75,1.6
04/10/23,14.20.15.60,37.738,15.051,3.85,1.6
10/13/17,22.10.18.75,37.749,14.996,0.08,1.1
07/01/13,03.33.49.79,37.717,15.013,0.23,2.4
12/08/16,02.32.01.30,37.687,14.956,8.75,2.7
02/06/19,08.39.34.91,37.757,15.111,9.16,2.1
12/15/08,09.28.29.85,37.803,15.045,1.26,3.7
10/16/01,20.32.28.84,37.729,15.100,4.78,1.1
07/01/14,07.38.14.92,37.692,15.051,0.57,3.4
05/04/15,18.35.36.02,37.798,15.057,-0.59,2.1
07/01/12,22.51.33.89,37.705,15.028,1.22,2.4
06/07/11,01.20.27.08,37.677,15.101,5.87,1.2
06/06/15,09.14.07.41,37.621,15.169,1.47,2.7
03/16/20,22.02.27.66,37.803,15.045,0.35,1.4
