data,ora,Lat N,Long E,prof (km),Md
10/12/03,11.01.19.22,37.803,15.051,-0.69,1.4
07/01/13,03.19.11.17,37.695,15.052,-0.68,2.8
07/01/14,03.04.51.63,37.694,15.046,-0.68,3.4
07/01/18,12.14.27.58,37.697,15.023,-0.68,2.8
04/08/29,10.04.42.43,37.814,15.064,-0.68,1.6
04/10/02,20.15.41.41,37.808,15.047,-0.68,1.7
07/15/19,09.16.26.47,37.813,15.065,-0.67,2.3
08/00/04,18.02.31.43,37.713,15.034,-0.66,1.0
05/08/01,22.43.49.16,37.811,15.073,-0.66,3.2
05/08/13,10.07.47.72,37.771,15.005,-0.66,3.2
07/01/14,04.19.36.61,37.699,14.956,-0.65,2.8
02/07/02,05.21.29.32,37.65,15.116,-0.65,1.1
04/10/02,23.48.07.75,37.805,15.047,-0.65,2.1
06/06/13,20.51.06.26,37.641,14.927,-0.64,1.1
09/09/03,20.21.36.75,37.803,15.051,-0.64,1.8
09/09/18,15.55.28.82,37.805,15.059,-0.63,1.8
03/02/28,09.08.59.94,37.696,15.165,-0.62,2.1
06/09/17,17.41.03.17,37.807,15.048,-0.62,1.7
08/09/25,21.07.43.06,37.811,15.096,-0.62,3.0
07/04/23,19.51.33.79,37.814,15.129,-0.61,2.6
04/01/18,17.49.14.09,37.796,15.037,-0.6,2.4
07/01/14,04.47.12.11,37.72,14.951,-0.6,3.1
01/08/26,22.50.03.41,37.642,15.123,-0.6,1.3
04/08/29,03.33.13.49,37.631,15.02,-0.6,1.2
05/08/13,09.42.55.93,37.765,15.,-0.6,2.3
12/08/24,00.46.42.63,37.743,15.223,-0.6,1.7
07/01/12,23.33.10.34,37.72,15.019,-0.59,2.4
07/01/15,00.53.31.94,37.695,15.036,-0.59,2.8
05/04/15,18.35.36.02,37.798,15.057,-0.59,2.1
06/12/09,04.53.17.31,37.801,15.034,-0.59,1.5
10/16/08,19.46.32.84,37.641,14.994,-0.59,2.0
05/01/09,06.39.42.29,37.639,14.944,-0.58,2.4
11/07/16,00.49.17.28,37.628,15.171,-0.58,1.3
02/08/02,17.18.09.24,37.813,15.114,-0.58,2.2
05/08/13,09.20.18.42,37.768,14.998,-0.58,2.4
11/16/09,17.16.55.87,37.802,15.052,-0.58,1.2
07/01/16,02.44.09.09,37.714,15.014,-0.57,3.1
04/02/12,19.59.18.28,37.812,15.083,-0.57,3.0
01/08/23,20.24.53.01,37.631,15.148,-0.57,1.3
07/01/20,22.51.54.88,37.688,15.052,-0.56,3.1
11/04/21,14.38.52.50,37.745,14.994,-0.56,2.0
04/08/13,05.35.40.22,37.807,15.064,-0.56,1.5
05/08/13,12.13.42.01,37.765,15.009,-0.56,3.3
07/01/14,06.44.46.65,37.715,14.954,-0.55,2.7
07/01/15,00.10.47.20,37.701,14.97,-0.55,3.1
08/06/13,03.08.52.29,37.659,15.1,-0.55,1.9
10/12/03,11.02.42.96,37.804,15.051,-0.55,1.4
10/15/05,18.28.38.56,37.8,15.038,-0.55,1.2
07/01/15,07.02.54.37,37.731,15.005,-0.54,2.9
09/01/07,14.56.49.97,37.681,15.017,-0.54,2.0
05/08/13,09.56.38.17,37.761,15.021,-0.54,2.5
05/09/16,11.19.09.31,37.717,15.148,-0.54,2.3
10/09/24,21.39.56.29,37.801,15.049,-0.54,1.5
05/11/11,05.06.43.90,37.745,15.003,-0.54,1.6
03/01/14,23.29.25.69,37.75,15.006,-0.53,1.7
07/01/13,12.33.26.44,37.693,15.03,-0.52,2.7
11/09/20,18.31.33.62,37.81,15.057,-0.52,2.2
04/01/15,16.29.21.57,37.632,14.824,-0.51,2.1
10/02/27,03.18.15.87,37.746,15.005,-0.51,2.8
03/08/04,04.57.30.80,37.676,15.209,-0.51,1.2
01/00/28,22.35.55.24,37.68,15.214,-0.5,1.3
05/08/13,11.52.38.31,37.766,14.999,-0.5,2.8
11/09/20,16.00.58.31,37.81,15.058,-0.5,1.9
06/12/30,22.42.19.51,37.808,15.06,-0.5,2.5
09/06/05,12.55.52.01,37.692,14.941,-0.49,1.9
09/09/03,20.22.05.85,37.803,15.049,-0.49,1.9
08/12/24,15.50.46.86,37.803,15.038,-0.49,1.2
09/15/30,14.48.07.73,37.809,15.055,-0.49,1.1
03/08/22,13.38.46.21,37.64,15.074,-0.48,2.2
05/08/21,07.39.25.12,37.807,15.054,-0.48,1.1
